country,continent,region,gdp_per_capita
Afghanistan,Asia,South Asia,502
Albania,Europe,Southern Europe,6494
Algeria,Africa,Northern Africa,3691
Andorra,Europe,Southern Europe,43047
Angola,Africa,Sub-Saharan Africa,2798
Antigua and Barbuda,Americas,Caribbean,17769
Argentina,Americas,South America,10713
Armenia,Asia,Western Asia,6024
Australia,Oceania,Australia and New Zealand,63529
Austria,Europe,Western Europe,55276
Azerbaijan,Asia,Western Asia,7017
Bahamas,Americas,Caribbean,34732
Bahrain,Asia,Western Asia,25660
Bangladesh,Asia,South Asia,2688
Barbados,Americas,Caribbean,17403
Belarus,Europe,Eastern Europe,7529
Belgium,Europe,Western Europe,50114
Belize,Americas,Central America,6680
Benin,Africa,Sub-Saharan Africa,1352
Bhutan,Asia,South Asia,3346
Bolivia,Americas,South America,3552
Bosnia and Herzegovina,Europe,Southern Europe,7065
Botswana,Africa,Sub-Saharan Africa,7960
Brazil,Americas,South America,8917
Brunei,Asia,South-Eastern Asia,31449
Bulgaria,Europe,Eastern Europe,13556
Burkina Faso,Africa,Sub-Saharan Africa,833
Burundi,Africa,Sub-Saharan Africa,228
Cabo Verde,Africa,Sub-Saharan Africa,3741
Cambodia,Asia,South-Eastern Asia,1787
Cameroon,Africa,Sub-Saharan Africa,1653
Canada,Americas,North America,54966
Central African Republic,Africa,Sub-Saharan Africa,508
Chad,Africa,Sub-Saharan Africa,715
Chile,Americas,South America,15356
China,Asia,Eastern Asia,12556
Colombia,Americas,South America,6104
Comoros,Africa,Sub-Saharan Africa,1376
Congo,Africa,Sub-Saharan Africa,2279
Costa Rica,Americas,Central America,12937
Croatia,Europe,Southern Europe,18193
Cuba,Americas,Caribbean,9500
Cyprus,Europe,Southern Europe,31552
Czech Republic,Europe,Eastern Europe,27839
Denmark,Europe,Northern Europe,68008
Djibouti,Africa,Eastern Africa,3395
Dominica,Americas,Caribbean,8209
Dominican Republic,Americas,Caribbean,9597
Ecuador,Americas,South America,6290
Egypt,Africa,Northern Africa,3546
El Salvador,Americas,Central America,4634
Equatorial Guinea,Africa,Sub-Saharan Africa,7025
Eritrea,Africa,Eastern Africa,674
Estonia,Europe,Northern Europe,28975
Eswatini,Africa,Sub-Saharan Africa,4241
Ethiopia,Africa,Sub-Saharan Africa,1020
Fiji,Oceania,Melanesia,5150
Finland,Europe,Northern Europe,53655
France,Europe,Western Europe,44408
Gabon,Africa,Sub-Saharan Africa,8820
Gambia,Africa,Sub-Saharan Africa,771
Georgia,Asia,Western Asia,6337
Germany,Europe,Western Europe,51204
Ghana,Africa,Sub-Saharan Africa,2363
Greece,Europe,Southern Europe,20324
Grenada,Americas,Caribbean,11272
Guatemala,Americas,Central America,5349
Guinea,Africa,Sub-Saharan Africa,1065
Guinea-Bissau,Africa,Sub-Saharan Africa,794
Guyana,Americas,South America,14455
Haiti,Americas,Caribbean,1748
Honduras,Americas,Central America,2844
Hungary,Europe,Eastern Europe,20232
Iceland,Europe,Northern Europe,76078
India,Asia,South Asia,2389
Indonesia,Asia,South-Eastern Asia,4332
Iran,Asia,Southern Asia,4003
Iraq,Asia,Western Asia,5936
Ireland,Europe,Northern Europe,102508
Israel,Asia,Western Asia,54658
Italy,Europe,Southern Europe,34777
Jamaica,Americas,Caribbean,5354
Japan,Asia,Eastern Asia,33815
